Skill;Category;Level
"Java, kotlin knowledge (be able to read and write code)";"Developer skills";"fundamental"
"IDE usage (shortcuts, navigation, search, structured editing, ...)";"Developer skills";"fundamental"
"comply with standard commit message format";"Developer skills";"fundamental"
"relational database knowledge";"Developer skills";"fundamental"
"be able to understand code in regard to business context";"Developer skills";"fundamental"
"run unittests";"Developer skills";"basic"
"modularity, separation of concerns, manage dependencies";"Developer skills";"basic"
"implement feature toggle";"Developer skills";"basic"
"rebase regularly, if working on (long-lived) feature branch";"Developer skills";"basic"
"run component tests locally";"Developer skills";"basic"
"use debugger locally for finding error root causes";"Developer skills";"basic"
"secure coding: handle certificates, keys, etc. correctly";"Developer skills";"basic"
"utilize new library in frontend project";"Developer skills";"basic"
"implement trivial change (push & green build)";"Developer skills";"basic"
"naming according to feature/product/requirements";"Developer skills";"basic"
"use liquibase for DB schema changes";"Developer skills";"basic"
"add UI elements (JS, REACT, ...)";"Developer skills";"basic"
"implement code according to technical requirements";"Developer skills";"basic"
"adjust REST endpoint";"Developer skills";"basic"
"code review: implement/fix bug in order to prevent customer impact";"Developer skills";"basic"
"perform report logging for later usage in Splunk";"Developer skills";"basic"
"create & execute DB migration (liquibase)";"Developer skills";"basic"
"simplify existing implementation";"Developer skills";"basic"
"bootstrap new micro service using SDB libs";"Developer skills";"basic"
"merge feature branch to master + green build";"Developer skills";"basic"
"practice incremental software development";"Developer skills";"basic"
"legacy code: tests first in case of refactoring/fix/feature implementation";"Developer skills";"advanced"
"develop new concept of handling load in a particular micro service";"Developer skills";"advanced"
"code review: find clean code violation and implement reasonable fix";"Developer skills";"advanced"
"create new library for usage by other services";"Developer skills";"advanced"
"edit/create Splunk dashboard according to PO requirements";"Developer skills";"advanced"
"introduce automation to improve developing software locally";"Developer skills";"advanced"
"agentic software development";"Developer skills";"advanced"
"foster continuous integration";"Developer skills";"advanced"
"improve resilience of a service (must be measurable)";"Developer skills";"advanced"
"trunk-based-development (incremental small commits, green build)";"Developer skills";"advanced"
"Azure, kubernetes knowledge (understand Enplify setup)";"Operations skills";"fundamental"
"understand CI/CD";"Operations skills";"fundamental"
"understand release process";"Operations skills";"fundamental"
"add/edit github actions config & green build";"Operations skills";"basic"
"edit/create health check";"Operations skills";"basic"
"perform live deployments and monitor system";"Operations skills";"basic"
"edit/create grafana dashboard";"Operations skills";"basic"
"add/edit helm charts (significant change)";"Operations skills";"basic"
"resolve firing alerts with some assistance from the team";"Operations skills";"basic"
"connect to all non-prod clusters";"Operations skills";"basic"
"support team in keeping build chains green";"Operations skills";"basic"
"edit/create alert silence (grafana)";"Operations skills";"basic"
"implement metrics according to agreed upon monitoring needs";"Operations skills";"advanced"
"use NPI database access for analysis / bug fixing";"Operations skills";"advanced"
"come up with relevant monitoring aspect & implement";"Operations skills";"advanced"
"calculate & adjust pod scaling";"Operations skills";"advanced"
"perform live deployments and discover bug/error";"Operations skills";"advanced"
"coordinate and perform downtime live deployments";"Operations skills";"advanced"
"be available for (ad hoc) team discussions within working hours";"Team collaboration";"fundamental"
"ask for support if stuck with a problem";"Team collaboration";"fundamental"
"refinement/workshop contribution: align with designs/plans";"Team collaboration";"fundamental"
"internal channels: participate in team communication";"Team collaboration";"fundamental"
"do real pair programming (driver & navigator)";"Team collaboration";"basic"
"facilitate daily stand-up";"Team collaboration";"basic"
"facilitate PO review (incl. preparations)";"Team collaboration";"basic"
"attend meetings prepared (inspect issues before-hand)";"Team collaboration";"basic"
"foster team motivation / morale";"Team collaboration";"basic"
"help out others with urls, credentials, processes, tool knowledge, etc.";"Team collaboration";"basic"
"keep current tasks' statuses up to date (Kanban/Scrum board)";"Team collaboration";"basic"
"raise issues that demand immediate attention (e.g. during retrospectives)";"Team collaboration";"basic"
"discuss requirements transparently (ticket, matterm. chn., meeting, etc.)";"Team collaboration";"basic"
"refinement/workshop contribution: add relevant input to work result";"Team collaboration";"basic"
"take notes before/during/after meetings and refer to them when needed";"Team collaboration";"advanced"
"facilitate story planning (incl. preparations)";"Team collaboration";"advanced"
"help to resolve a conflict between team members";"Team collaboration";"advanced"
"facilitate API design (sketch, discuss, define)";"Team collaboration";"advanced"
"come up with improvement(s) to team collaboration and facilitate change";"Team collaboration";"advanced"
"establish/motivate new working agreement(s)";"Team collaboration";"advanced"
"present a technical walkthrough of a service";"Team collaboration";"advanced"
"get team involved: challenge tech solution; initiate teaming session(s)";"Team collaboration";"advanced"
"public channels: participate in discussions";"Team collaboration";"advanced"
"refinement/workshop contribution: lead/facilitate discussion";"Team collaboration";"advanced"
"drive epic progress (washing line, stakeholder mngmt., customer feedback)";"Team collaboration";"advanced"
"create atomic test cases";"Quality assurance";"fundamental"
"edit/create unit tests";"Quality assurance";"fundamental"
"perform API input validation";"Quality assurance";"basic"
"edit/create component test using wiremock";"Quality assurance";"basic"
"identify equivalence classes for testing and implement test(s) accordingly";"Quality assurance";"basic"
"edit/create component test";"Quality assurance";"basic"
"find wording in tests to reflect story requirements";"Quality assurance";"basic"
"implement production code test-driven";"Quality assurance";"basic"
"perform rudimentary security testing";"Quality assurance";"basic"
"refactor/improve test run time";"Quality assurance";"basic"
"prepare authentic test data (png, pdf, ...) according to requirements";"Quality assurance";"basic"
"automate a necessary test that was only executed manually";"Quality assurance";"advanced"
"create/execute load/performance test (incl. summary meeting)";"Quality assurance";"advanced"
"edit/create system test";"Quality assurance";"advanced"
"documentation -> specification -> test -> implementation";"Quality assurance";"advanced"
"implement tests in correct layer (unit, comp., integration, system, ui)";"Quality assurance";"advanced"
"living documentation: test case transparency";"Quality assurance";"advanced"
"handle external system input for system tests (stub)";"Quality assurance";"advanced"
"improve test coverage systematically";"Quality assurance";"advanced"
"bump dependencies manually";"Maintenance Skills";"fundamental"
"public channels: answer questions";"Maintenance Skills";"fundamental"
"monitor production alerts";"Maintenance Skills";"basic"
"create ticket and fix issue due to an alarm";"Maintenance Skills";"basic"
"fix at least 10 bugs";"Maintenance Skills";"basic"
"communicate firing production alerts to the team";"Maintenance Skills";"basic"
"resolve CVE finding";"Maintenance Skills";"basic"
"resolve renovate PRs which were unable to auto-merge";"Maintenance Skills";"basic"
"public channels: identify TODOs for the team";"Maintenance Skills";"basic"
"resolve pinned dependency versions within service";"Maintenance Skills";"basic"
"monitor customer behavior in production (Splunk)";"Maintenance Skills";"advanced"
"bump external dependency (e.g. pdfBox, openCV, ...)";"Maintenance Skills";"advanced"
"kick off refactoring initiative, touching all/most projects";"Maintenance Skills";"advanced"
"check overall application health (logs, alerts, metrics, ...)";"Maintenance Skills";"advanced"
"identify and fix performance problem";"Maintenance Skills";"advanced"
"performance reviews: make low-level goal agreements";"Knowledge management & Growth mindset";"fundamental"
"let action/statements be based on knowledge, not on assumptions";"Knowledge management & Growth mindset";"fundamental"
"add/edit README.md (significant change)";"Knowledge management & Growth mindset";"basic"
"add/edit puml diagram (significant change)";"Knowledge management & Growth mindset";"basic"
"systematic note taking";"Knowledge management & Growth mindset";"basic"
"receive peer feedback";"Knowledge management & Growth mindset";"basic"
"use received feedback to improve and grow";"Knowledge management & Growth mindset";"basic"
"explore source code of a service for self-onboarding within 1d";"Knowledge management & Growth mindset";"basic"
"conduct research and apply results to current project";"Knowledge management & Growth mindset";"basic"
"provide peer feedback";"Knowledge management & Growth mindset";"advanced"
"deliver regular input at Enplify Exchange (SoS)";"Knowledge management & Growth mindset";"advanced"
"experiment pro-actively (coding)";"Knowledge management & Growth mindset";"advanced"
"facilitate a spike: time-boxed research, PoC, presentation";"Knowledge management & Growth mindset";"advanced"
"facilitate knowledge session (present s.th. new to the team)";"Knowledge management & Growth mindset";"advanced"
"participate in community of practice";"Knowledge management & Growth mindset";"advanced"
"share notes: use common tools (jira/confluence) for documentation";"Knowledge management & Growth mindset";"advanced"
"facilitate a hands-on coaching session for a complex topic";"Knowledge management & Growth mindset";"advanced"
"ask questions in case of uncertainty";"Requirements analysis";"fundamental"
"understand the reasons WHY something is to be implemented";"Requirements analysis";"fundamental"
"break down problems into small tasks";"Requirements analysis";"basic"
"derive technical requirements from feature description";"Requirements analysis";"basic"
"challenge story requirements (reduce work, simplify, ...)";"Requirements analysis";"basic"
"visually embed new functionality into an existing architecture";"Requirements analysis";"basic"
"enforce/implement specification by example";"Requirements analysis";"basic"
"identify order of tasks to efficiently meet the feature goals";"Requirements analysis";"basic"
"come up with a better approach than the PO to solve the actual problem";"Requirements analysis";"advanced"
"Be business minded: see reqs through the eyes of the customer";"Requirements analysis";"advanced"
"redesign story cut / write cluster of stories for new feature";"Requirements analysis";"advanced"
